region,prefecture,commune,quarter
Conakry,Conakry,Kaloum,Tombo
Conakry,Conakry,Kaloum,Almamya
Conakry,Conakry,Dixinn,Taouyah
Conakry,Conakry,Dixinn,Bellevue
Conakry,Conakry,Ratoma,Kipé
Conakry,Conakry,Ratoma,Nongo
Conakry,Conakry,Matam,Bonfi
Conakry,Conakry,Matam,Madina
Conakry,Conakry,Matoto,Yimbaya
Conakry,Conakry,Matoto,Gbessia
Boké,Boké,Boké-Centre,Tanènè
Boké,Boffa,Boffa-Centre,Koba
Boké,Fria,Fria-Centre,Banguingny
Boké,Koundara,Koundara-Centre,Sambailo
Boké,Gaoual,Gaoual-Centre,Koumbia
Kindia,Kindia,Kindia-Centre,Sambaya
Kindia,Coyah,Coyah-Centre,Manéah
Kindia,Dubréka,Dubréka Centre,Khorira
Kindia,Forécariah,Forécariah Centre,Farmoriah
Kindia,Télimélé,Télimélé Centre,Sangaréyah
Mamou,Mamou,Mamou-Centre,Horè Fello
Mamou,Dalaba,Dalaba-Centre,Konko Sylla
Mamou,Pita,Pita-Centre,Timbi Madina
Faranah,Faranah,Faranah-Centre,Fodéhadji
Faranah,Dabola,Dabola-Centre,Kabiné
Faranah,Dinguiraye,Dinguiraye-Centre,Banora
Kankan,Kankan,Kankan-Centre,Banankoro
Kankan,Kérouané,Kérouané Centre,Soromaya
Kankan,Kouroussa,Kouroussa-Centre,Sanguiana
Kankan,Mandiana,Mandiana-Centre,Koundjan
Kankan,Siguiri,Siguiri-Centre,Doko
Labé,Labé,Labé Centre,Daka
Labé,Koubia,Koubia Centre,Fafaya
Labé,Mali,Mali Centre,Touba
Labé,Lélouma,Lélouma Centre,Djountou
Labé,Tougué,Tougué Centre,Fello Koundoua
Nzérékoré,Nzérékoré,Nzérékoré Centre,Gbanghana
Nzérékoré,Beyla,Beyla-Centre,Gbéssoba
Nzérékoré,Lola,Lola-Centre,Bossou
Nzérékoré,Yomou,Yomou-Centre,Bowé
Nzérékoré,Guéckédou,Guéckédou Centre,Tékoulo
Nzérékoré,Macenta,Macenta-Centre,Balizia

